Season,fullName,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,nameLast,nameFirst,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details,Age 7/1/21,Age 7/1/22,Age 7/1/23,Age 7/1/24
2015,A.J. Pierzynski,ATL,436,0.043577981,0.084862385,0.513513513,0.299754299,0.339449541,0.429975429,0.76942497,0.13022113,1.7363817081566846,0.31043956,-1.899999976158142,-1.899999976158142,NA,-1.003810532391071,55.9393895385301,6.915596109393831,0.33306003729319245,110.62092273257863,A.J. Pierzynski,746,150229,373,85.4000340599455,109.962,10.583398969686648,11,0.02949062,95,0.25469169,1.626168224,0.246648793,0.466487935,0.28686327,0.121495327,0.084112149,7,0.040229885,0,0,0.42359249,0.33512064,0.24128686,0.20107239,0.53887399,0.26005362,Pierzynski,A.J.,c,39,NA,ATL,ATL,2,3000000,2016-17,NA,1500000,Steve Hilliard,Liberty Media,John Coppolella,NA,NA,NA,NA,NA
2022,AJ Pollock,CHW,527,0.060721062,0.185958254,0.326530612,0.245398773,0.292220113,0.388548057,0.68076817,0.143149284,3.457911134675098,0.278215223,-0.9000000357627869,-0.30000001192092896,-2.103995561599731,-0.2648958037607372,55.07779398179401,-5.18278625243556,0.2973666204673289,92.1105208593312,AJ Pollock,9256,572041,395,88.75136817893402,110.847,11.756871876982869,37,0.09367089,166,0.42025316,1.262411347,0.190355329,0.451776649,0.35786802,0.177304964,0.09929078,9,0.050561797,0,0,0.43797468,0.32911392,0.23291139,0.16962025,0.49620253,0.33417722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,AJ Pollock,LAD,422,0.071090047,0.189573459,0.375,0.296875,0.355450236,0.536458333,0.891908569,0.239583333,4.38209941057941,0.326315789,-1,0.6000000238418579,-0.13082826137542725,1.048692255979404,72.18000615375722,21.09446307259286,0.3748424556551938,136.86262914607624,AJ Pollock,9256,572041,306,90.3193937602796,111.242,11.960780093544408,34,0.11111111,144,0.47058824,1.033898305,0.215686274,0.39869281,0.385620915,0.050847457,0.177966101,17,0.139344262,0,0,0.44444444,0.33660131,0.21895425,0.1372549,0.4869281,0.37581699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,AJ Pollock,ARI,460,0.067391304,0.217391304,0.31,0.256658595,0.315904139,0.484261501,0.80016564,0.227602906,6.744339498294841,0.284280936,1.4999999403953552,0.800000011920929,0.8375985026359558,1.5517650172114372,62.42055534447707,8.67823152865447,0.33781501918183376,110.07451620118309,AJ Pollock,9256,572041,321,89.16662788989028,108.633,13.481717770376177,31,0.09657321,130,0.40498442,1.097560975,0.19375,0.421875,0.384375,0.081300813,0.170731707,10,0.074074074,0,0,0.48598131,0.3271028,0.18691589,0.11214953,0.4423676,0.44548287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AJ Pollock,ARI,466,0.075107296,0.152360515,0.492957746,0.265882352,0.330472103,0.470588235,0.801060338,0.204705883,7.54683787841682,0.29117647,0.3999999761581421,1,2.203490734100342,1.2085186783224344,64.38394262481057,7.592274418357244,0.3401941953166839,102.6253158872946,AJ Pollock,9256,572041,354,87.95669642857143,108.735,8.4570556640625,19,0.05367232,136,0.38418079,1.38938053,0.232954545,0.446022727,0.321022727,0.123893805,0.123893805,10,0.063694267,0,0,0.43220339,0.37288136,0.19491525,0.19774011,0.4519774,0.35028249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AJ Pollock,ARI,673,0.078751857,0.132243684,0.595505617,0.315270935,0.367013372,0.497536945,0.864550317,0.18226601,7.141714450166587,0.337917485,3.899999976158142,-1.899999976158142,NA,4.698424707166851,106.6583218767675,30.98627376252732,0.3708306717482931,131.05384110083503,AJ Pollock,9256,572041,529,88.87830062984496,110.573,8.863602985707365,24,0.04536862,207,0.39130435,1.736842105,0.207619047,0.502857142,0.289523809,0.092105263,0.131578947,19,0.071969696,4,1,0.38752363,0.36862004,0.24385633,0.14933837,0.50661626,0.34404537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Aaron Altherr,PHI,412,0.077669902,0.252427184,0.307692307,0.271505376,0.339805825,0.516129032,0.855934857,0.244623656,5.482021217713043,0.328,-0.10000002384185792,-0.8999999761581421,-0.2134293168783188,-0.9200933715328574,63.52264439109853,13.31198494676641,0.3591757487959978,119.71829502921165,Aaron Altherr,11270,571437,269,89.25151022304833,112.262,11.22837131883132,26,0.09665428,116,0.43122677,1.148514851,0.19330855,0.431226765,0.375464684,0.118811881,0.188118811,11,0.094827586,0,0,0.37546468,0.32342007,0.30111524,0.20074349,0.43494424,0.36431227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Aaron Hicks,NYY,453,0.136865342,0.240618101,0.568807339,0.216145833,0.329646017,0.3125,0.642146017,0.096354167,4.974553651229693,0.278810408,2.0000000447034836,0.20000000298023224,0.301394522190094,0.28279758943244815,45.49848031381807,-6.300462468166736,0.2922387125762905,88.99218314780414,Aaron Hicks,5297,543305,278,87.8829341231685,109.6,14.806870457016942,16,0.05755396,92,0.33093525,1.129629629,0.163636363,0.443636363,0.392727272,0.148148148,0.074074074,15,0.122950819,0,0,0.47482014,0.26978417,0.25539568,0.20143885,0.51079137,0.28776978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Aaron Hicks,NYY,581,0.154905335,0.191049913,0.81081081,0.247916666,0.366148531,0.466666666,0.832815197,0.21875,5.318519095137221,0.264367816,3.4000000953674316,2.5999999046325684,1.4839909076690674,0.9876995750237256,89.28388877900862,21.40499717685006,0.3598501572971938,128.53512610737735,Aaron Hicks,5297,543305,377,89.70718961148648,110.011,13.218405563766892,32,0.08488064,162,0.42970822,1.042253521,0.216216216,0.4,0.383783783,0.119718309,0.190140845,11,0.074324324,2,0.285714285,0.4535809,0.36870027,0.17771883,0.18567639,0.41909814,0.39522546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Aaron Hicks,NYY,361,0.141274238,0.185595567,0.761194029,0.26578073,0.372222222,0.475083056,0.847305278,0.209302326,3.9458963897209625,0.290178571,3.300000011920929,-0.30000001192092896,1.8813538551330569,-0.3709859880618751,56.74937182460554,12.754109544498991,0.36275361511442394,127.6959644770922,Aaron Hicks,5297,543305,240,86.70047373670212,109.291,11.704438164893617,17,0.07083333,78,0.325,1.094736842,0.156779661,0.440677966,0.402542372,0.094736842,0.157894736,8,0.076923076,2,0.5,0.42916667,0.35,0.22083333,0.19583333,0.49583333,0.30833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
